team,abbr
Anaheim Ducks,ANA
Arizona Coyotes,ARI
Boston Bruins,BOS
Buffalo Sabres,BUF
Carolina Hurricanes,CAR
Columbus Blue Jackets,CBJ
Calgary Flames,CGY
Chicago Blackhawks,CHI
Colorado Avalanche,COL
Dallas Stars,DAL
Detroit Red Wings,DET
Edmonton Oilers,EDM
Florida Panthers,FLA
Los Angeles Kings,L.A
Minnesota Wild,MIN
Montreal Canadiens,MTL
New Jersey Devils,N.J
Nashville Predators,NSH
New York Islanders,NYI
New York Rangers,NYR
Ottawa Senators,OTT
Philadelphia Flyers,PHI
Pittsburgh Penguins,PIT
San Jose Sharks,S.J
St. Louis Blues,STL
Tampa Bay Lightning,T.B
Toronto Maple Leafs,TOR
Vancouver Canucks,VAN
Winnipeg Jets,WPG
Washington Capitals,WSH
Phoenix Coyotes,PHX
Mighty Ducks of Anaheim,ANA
Atlanta Thrashers,ATL